"ID","Site","Layer","Fire","Cortex","Class","Blank","Blank.technology","Technology","Preservation","Length","Width","Thickness","Robustness","Elongation","Platform.width","Platform.thickness","Platform_ratio","Platform.type","Platform.shape","Bulb","Bulbar.scars","Bulb.type","Lip","Lip.type","Curvature","Torsion","Torsion.simplified","Section","Blank.shape","Scar.pattern","Scar.pattern.2","Distal.end","Plunging","Bladelet.negatives","Typology","Typology.new","Retouch.position","Dorsal.retouch.localization","Ventral.retouch.localization","left_right","Volume","Area","raw.material.type","raw.material.source","raw.material.lumped","raw.material.provenience","X3D","Scanner"
"RB_808","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",24.7999992370605,8,2,4,3.09999990463256,1.5,1.29999995231628,1.15384619616898,"Plain","Oval",TRUE,FALSE,"Pronounced",TRUE,"Moderate","Straight","1R","yes","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_809","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",22.5,8.19999980926514,2.29999995231628,3.56521738229042,2.74390250284852,2.40000009536743,0.800000011920929,3.0000000745058,"Plain","Rectangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","1L","yes","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_810","RB","A2",FALSE,"1-33%","Blank","Bladelet","Semi-cortical","Semi-cortical","Complete",14.1999998092651,7.80000019073486,1.29999995231628,6.00000036679784,1.82051275154229,1.39999997615814,0.400000005960464,3.49999988824129,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","0","no","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_811","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",12,5.09999990463257,1.20000004768372,4.24999975164731,2.3529412204694,1.79999995231628,0.5,3.59999990463256,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","1L","yes","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_812","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",8,3.90000009536743,1.10000002384186,3.54545455530654,2.05128200112167,1.20000004768372,0.400000005960464,3.00000007450582,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","0","no","Trapezoidal","Sub-parallel","Unidirectional convergent","Unidirectional convergent","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_813","RB","A2",FALSE,"1-33%","Blank","Flake","Maintenance","Maintenance","Complete",14.8999996185303,7.19999980926514,6.40000009536743,1.12499995343387,2.0694444462841,5.5,6,0.916666666666667,"Cortical","Triangular",FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Triangular","Convergent","Unidirectional","Unidirectional parallel","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_814","RB","A2",FALSE,"1-33%","Blank","Flake","Maintenance","Maintenance","Complete",18.8999996185303,13,2.09999990463257,6.19047647160468,1.45384612450233,6.19999980926514,1.10000002384186,5.63636334080341,"Cortical","Rectangular",FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Polyhedral","Irregular","Unidirectional","Unidirectional parallel","Pointed",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_815","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",19.2000007629395,5,1.20000004768372,4.1666665010982,3.8400001525879,1,0.200000002980232,4.9999999254942,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_816","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",16.2999992370605,6.40000009536743,1.39999997615814,4.57142871739914,2.54687484283931,1.39999997615814,0.200000002980232,6.99999977648258,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_817","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",17.6000003814697,6.5,2.5,2.6,2.70769236637995,3.5,0.5,7,"Plain","Rectangular",TRUE,FALSE,"Moderate",TRUE,"Moderate","Straight","0","no","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_818","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",17.2999992370605,6.90000009536743,2.40000009536743,2.8749999254942,2.50724623158708,2.09999990463257,1.29999995231628,1.61538460127701,"Plain","Rectangular",FALSE,FALSE,"Absent",TRUE,"Pronounced","Straight","0","no","Trapezoidal","Sub-parallel","Unidirectional convergent","Unidirectional convergent","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
