ID,Site,Layer,Core.type,Core.classification,Core.classification.2,Laminar,Carinated,Core.blank,Platform.number,Surfaces.number,Blank.production,Bipolar.core,Striking.platform,Second.striking.platform,Flaking.surface,Reduction.pattern,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Cortex,Cortex.position.core,Flaking.surface.profile,Second.flaking.surface.profile,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,raw.material.source,raw.material.type,raw.material.lumped,raw.material.provenience,scars.platform,scars.flaking.surface,scars.total,SDI,logSDI,X3D,Scanner
RB_1156,RB,A2,Platform flake,Platform flake,Wide-faced flat,no,no,Flake,1,1,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,23.70000076,38.5,13.19999981,NA,NA,NA,NA,Flake,NA,NA,33-66%,Back,NA,NA,NA,1.795454629,NA,0.615584435,2.916666709,6022.821777,2286.837925,Local,Chert,Local,Local,1,3,4,0.00174914,-2.757175395,yes,Artec.Spider
RB_1157,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Block,3,3,Flake,FALSE,Plain,Plain,NA,NA,26,28,21.70000076,NA,NA,NA,NA,Flake,NA,NA,0%,NA,NA,NA,NA,1.19815664,NA,0.928571429,1.290322535,7343.620605,2315.260181,Local,Chert,Local,Local,0,14,14,0.006046837,-2.218471767,yes,Artec.Spider
RB_1160,RB,A2,Platform flake,Platform flake,Wide-faced flat,no,no,Flake,1,1,Flake,FALSE,Cortical,NA,Unidirectional,Sub-parallel,41.70000076,39.20000076,14.19999981,19.79999924,30.5,NA,NA,Flake,NA,NA,100%,NA,NA,NA,1.394366162,2.936619811,0.505102012,1.063775509,2.760563471,7928.59375,2856.99274,Local,Chert,Local,Local,0,5,5,0.001750092,-2.756939132,yes,Artec.Spider
RB_1162,RB,A2,Shatter,Shatter,Shatter,no,no,Undetermined,1,1,Undetermined,FALSE,Plain,NA,NA,NA,27,28.39999962,13.30000019,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,2.030075159,NA,0.950704238,2.135338287,4909.080566,2119.379724,Local,Chert,Local,Local,0,5,5,0.002359181,-2.627238771,yes,Artec.Spider
RB_1164,RB,A2,Bipolar,Bipolar,Narrow-sided,yes,no,Flake,2-opposed,1,Bladelet,FALSE,Plain,Diedro,Bidirectional,Sub-parallel,17.60000038,9,18.20000076,17,9,NA,NA,Bladelet,15.6,4.1,0%,NA,NA,NA,0.934065895,0.967032947,1.888888889,1.955555598,0.494505474,1131.302002,656.205167,Distant.Italy,Jasper,Distant,Italy,3,7,10,0.015239136,-1.817039646,yes,Artec.Spider
RB_1247,RB,A0,Initial,Initial flake,Semi-circumferential,no,no,Pebble,1,1,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,19,29.20000076,24.79999924,16.5,22.10000038,NA,NA,Flake,NA,NA,33-66%,Base;Lateral left;Lateral right,NA,NA,0.665322601,0.766129056,0.565068478,0.650684915,1.177419422,4749.35498,1787.334134,Local,Chert,Local,Local,1,2,3,0.001678477,-2.775084495,yes,Artec.Spider
RB_1249,RB,A0,Shatter laminar,Shatter laminar,Semi-circumferential,yes,no,Undetermined,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Convergent,13.69999981,17.79999924,17.89999962,13.69999981,17.79999924,NA,NA,Undetermined,NA,NA,0%,NA,NA,NA,0.765363134,0.765363134,0.769662944,0.769662944,0.994413386,1277.501831,745.9641015,Local,Chert,Local,Local,1,7,8,0.010724377,-1.969627941,yes,Artec.Spider
RB_1258,RB,A0,Bipolar,Bipolar,Wide-faced flat,yes,no,Undetermined,2-opposed,3,Bladelet-Flake,TRUE,Plain,Diedro,Bidirectional,Sub-parallel,18.5,11,12.39999962,17.1,10.3,NA,NA,Undetermined,NA,NA,0%,NA,NA,NA,1.3790323,1.49193553,1.554545455,1.681818182,0.887096801,684.1730957,513.4398237,Distant.Italy,Jasper,Distant,Italy,0,11,11,0.021424127,-1.669096865,yes,Artec.Spider
RB_344,RB,A1,Bipolar,Bipolar,Semi-circumferential,no,no,Flake,2-opposed,2,Bladelet-Flake,TRUE,Plain,Diedro,Bidirectional,Sub-parallel,25.39999962,17.10000038,12.10000038,NA,NA,NA,NA,Undetermined,NA,NA,0%,NA,NA,NA,NA,2.099173456,NA,1.485380062,1.413223127,2605.665771,1167.434102,Local,Chert,Local,Local,1,6,7,0.005996056,-2.222134335,yes,Artec.Spider
RB_409,RB,A1,Carinated,Carinated,Carinated burin,yes,yes,Flake,1,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Convergent,16.79999924,9.5,26.60000038,18.20000076,12.69999981,NA,NA,Bladelet,10.1,3.6,33-66%,Lateral right;Striking platform,NA,NA,0.684210545,0.63157891,1.915789554,1.768420972,0.357142852,1753.108521,942.4136989,Very-distant.Italy,Chert,Very.distant,Italy,3,10,13,0.013794367,-1.860298238,yes,Artec.Spider
